x,y,z,formation
10.5186,0,43.53,rock1
0.9537,36.559,47.09,rock1
0.9137,33.5614,45.33,rock1
0.9222,30.5155,45.13,rock1
8.7897,30.332,43.36,rock1
9.1193,27.328,43.6,rock1
0.774,21.3487,44.36,rock1
0.6914,18.2888,43.33,rock1
0.6158,15.2919,42.86,rock1
0,12.318,42.42,rock1
9.4394,24.3134,44.25,rock1
9.8878,21.1625,44.3,rock1
10.2568,18.0388,43.58,rock1
10.5973,15.0484,43.2,rock1
10.7176,12.1301,43.17,rock1
10.6655,9.1286,42.74,rock1
10.6716,6.0375,42.73,rock1
10.5748,2.9552,42.81,rock1
10.5186,0,43.52,rock3
0.9537,36.559,46.95,rock3
0.9137,33.5614,45.26,rock3
0.9222,30.5155,44.9,rock3
8.7897,30.332,43.14,rock3
9.1193,27.328,43.33,rock3
0.774,21.3487,44.25,rock3
0.6914,18.2888,43.22,rock3
0.6158,15.2919,42.68,rock3
0,12.318,42.22,rock3
9.4394,24.3134,43.88,rock3
9.8878,21.1625,44.19,rock3
10.2568,18.0388,43.62,rock3
10.5973,15.0484,43.35,rock3
10.7176,12.1301,43.23,rock3
10.6655,9.1286,42.88,rock3
10.6716,6.0375,42.95,rock3
10.5748,2.9552,43.03,rock3
10.5186,0,43.33,rock2
0.9537,36.559,44.81,rock2
0.9137,33.5614,44.78,rock2
0.9222,30.5155,44.76,rock2
8.7897,30.332,43.79,rock2
9.1193,27.328,43.73,rock2
0.774,21.3487,44.82,rock2
0.6914,18.2888,44.86,rock2
0.6158,15.2919,44.91,rock2
0,12.318,44.1,rock2
9.4394,24.3134,43.68,rock2
9.8878,21.1625,43.62,rock2
10.2568,18.0388,43.57,rock2
10.5973,15.0484,43.51,rock2
10.7176,12.1301,43.47,rock2
10.6655,9.1286,43.43,rock2
10.6716,6.0375,43.39,rock2
10.5748,2.9552,43.36,rock2
