x,y,z,formation
1051.86,0,43.53,rock1
95.37,3655.9,47.09,rock1
91.37,3356.14,45.33,rock1
92.22,3051.55,45.13,rock1
878.97,3033.2,43.36,rock1
911.93,2732.8,43.6,rock1
77.4,2134.87,44.36,rock1
69.14,1828.88,43.33,rock1
61.58,1529.19,42.86,rock1
0,1231.8,42.42,rock1
943.94,2431.34,44.25,rock1
988.78,2116.25,44.3,rock1
1025.68,1803.88,43.58,rock1
1059.73,1504.84,43.2,rock1
1071.76,1213.01,43.17,rock1
1066.55,912.86,42.74,rock1
1067.16,603.75,42.73,rock1
1057.48,295.52,42.81,rock1
1051.86,0,43.52,rock3
95.37,3655.9,46.95,rock3
91.37,3356.14,45.26,rock3
92.22,3051.55,44.9,rock3
878.97,3033.2,43.14,rock3
911.93,2732.8,43.33,rock3
77.4,2134.87,44.25,rock3
69.14,1828.88,43.22,rock3
61.58,1529.19,42.68,rock3
0,1231.8,42.22,rock3
943.94,2431.34,43.88,rock3
988.78,2116.25,44.19,rock3
1025.68,1803.88,43.62,rock3
1059.73,1504.84,43.35,rock3
1071.76,1213.01,43.23,rock3
1066.55,912.86,42.88,rock3
1067.16,603.75,42.95,rock3
1057.48,295.52,43.03,rock3
1051.86,0,43.33,rock2
95.37,3655.9,44.81,rock2
91.37,3356.14,44.78,rock2
92.22,3051.55,44.76,rock2
878.97,3033.2,43.79,rock2
911.93,2732.8,43.73,rock2
77.4,2134.87,44.82,rock2
69.14,1828.88,44.86,rock2
61.58,1529.19,44.91,rock2
0,1231.8,44.1,rock2
943.94,2431.34,43.68,rock2
988.78,2116.25,43.62,rock2
1025.68,1803.88,43.57,rock2
1059.73,1504.84,43.51,rock2
1071.76,1213.01,43.47,rock2
1066.55,912.86,43.43,rock2
1067.16,603.75,43.39,rock2
1057.48,295.52,43.36,rock2
